SKU,Product_Name,Category,subcategory,Brand,Pack_Size,Tawfeer_Price,Cost,Margin_Floor,calculation vs market price,Margin Flag,Pricing Flag,Recommended action,Recommended price,Difference vs Lowest in the market,New GM% after price recommendation,KVI_Flag,Promo_Flag,Carrefour_Price,Spinneys_Price,MetroMart_Price,Lowest market price,average market price,Units_Sold_Last_Week,Inventory_Level,Stock cover,Inventory interpreation,Store_Count,Last_Price_Change_Date,SKU_Type,Target_GM,Min_Allowed_Price,Max_Allowed_Price,Market_Anchor_Price,Margin_Floor_Price,Constraint_Reason,Approval_Status
1001,Milk 1L,Dairy,milk,Generic,1L,2.5,2.15,0.12,6.3829787234042507E-2,Within margin threshold,Too expensive,Decrease Price,2.4500000000000002,4.2553191489361736E-2,0.12244897959183683,Yes,No,2.35,2.5499999999999998,2.4,2.35,2.4333333333333336,720,1692,2.35,Understocked,28,46075,KVI,0.13999999999999999,2.4431818181818179,,2.4333333333333336,2.4431818181818179,Price positioning conflict,Review
1002,Milk 2L,Dairy,milk,Generic,2L,4.8,4.08,0.12,4.3478260869565258E-2,Within margin threshold,Too expensive,Decrease Price,4.6500000000000004,1.086956521739146E-2,0.12258064516129037,Yes,No,4.5999999999999996,4.95,4.7,4.5999999999999996,4.75,610,2806,4.5999999999999996,Rightly stocked,28,46075,KVI,0.15,4.6363636363636367,,4.75,4.6363636363636367,Price positioning conflict,Review
1003,Skim Milk 1L,Dairy,milk,Generic,1L,2.6,2.09,0.16,1.9607843137254829E-2,Within margin threshold,Too expensive,Decrease Price,2.5,-1.9607843137255006E-2,0.16400000000000006,No,No,2.4500000000000002,2.7,2.5,2.4500000000000002,2.5500000000000003,410,1005,2.4512195121951219,Understocked,24,46071,Core,0.19500000000000001,2.4880952380952381,,2.5500000000000003,2.4880952380952381,No conflict,Approve
1004,Chocolate Milk 1L,Dairy,milk,Generic,1L,3.2,2.58,0.16,1.3877787807814457E-16,Within margin threshold,Within range,Keep,3.2,1.3877787807814457E-16,0.19375000000000003,No,No,3.1,3.35,3.15,3.1,3.1999999999999997,280,868,3.1,Understocked,24,46068,Core,0.19500000000000001,3.0714285714285716,,3.1999999999999997,3.0714285714285716,No conflict,Approve
1005,Yogurt Plain 500g,Dairy,Yogurt,Generic,500g,3.2,2.75,0.12,4.9180327868852576E-2,Within margin threshold,Too expensive,Decrease Price,3.1500000000000004,3.2786885245901815E-2,0.12698412698412709,Yes,No,3.05,3.35,3.1,3.05,3.1666666666666665,340,1037,3.05,Understocked,26,46071,KVI,0.13999999999999999,3.125,,3.1666666666666665,3.125,Price positioning conflict,Review
1006,Yogurt Strawberry 500g,Dairy,Falovored yogurt,Generic,500g,3.4,2.81,0.16,1.4925373134328304E-2,Within margin threshold,Too expensive,Decrease Price,3.35,0,0.16119402985074627,No,No,3.2,3.55,3.3,3.2,3.35,310,992,3.2,Understocked,26,46070,Core,0.17499999999999999,3.3452380952380953,,3.35,3.3452380952380953,No conflict,Approve
1007,Greek Yogurt 400g,Dairy,Greek yogurt,Generic,400g,4.0999999999999996,3.34,0.16,8.1967213114753808E-3,Within margin threshold,Too expensive,Decrease Price,4,-1.6393442622950762E-2,0.16500000000000004,No,No,3.9,4.3,4,3.9,4.0666666666666664,230,897,3.9,Understocked,22,46069,Core,0.185,3.9761904761904763,,4.0666666666666664,3.9761904761904763,No conflict,Approve
1008,Yogurt Drink 250ml,Dairy,Yogurt,Generic,250ml,1.5,1.28,0.16,1.1235955056179735E-2,Below margin threshold,Too expensive,Keep,1.5,1.1235955056179735E-2,0.14666666666666664,No,No,1.4,1.6,1.45,1.4,1.4833333333333334,500,700,1.4,Understocked,28,46076,Core,0.15,1.5238095238095239,,1.4833333333333334,1.5238095238095239,Margin conflict,Review
1009,Yogurt Drink 1L,Dairy,Yogurt,Generic,1L,3.8,3.06,0.16,1.3333333333333286E-2,Within margin threshold,Too expensive,Decrease Price,3.6500000000000004,-2.6666666666666571E-2,0.16164383561643841,No,No,3.6,3.95,3.7,3.6,3.75,260,936,3.6,Understocked,22,46067,Core,0.19500000000000001,3.6428571428571432,,3.75,3.6428571428571432,Price positioning conflict,Review
1010,Butter 250g,Dairy,Butter,Generic,250g,4.8,4.08,0.12,5.4945054945054944E-2,Within margin threshold,Too expensive,Decrease Price,4.6500000000000004,2.1978021978022098E-2,0.12258064516129037,Yes,No,4.55,5.0999999999999996,4.7,4.55,4.7833333333333323,360,1638,4.55,Rightly stocked,26,46073,KVI,0.15,4.6363636363636367,,4.7833333333333323,4.6363636363636367,Price positioning conflict,Review
1011,Butter 500g,Dairy,Butter,Generic,500g,8.9,7.34,0.16,0,Within margin threshold,Within range,Keep,8.9,0,0.17528089887640455,No,No,8.6,9.35,8.75,8.6,8.9,240,2064,8.6,Overstocked,26,46073,Core,0.17499999999999999,8.738095238095239,,8.9,8.738095238095239,No conflict,Approve
1012,Margarine 250g,Dairy,Margarine,Generic,250g,2.2000000000000002,1.79,0.16,2.0185873175002848E-16,Within margin threshold,Within range,Keep,2.2000000000000002,2.0185873175002848E-16,0.18636363636363643,No,No,2.1,2.35,2.15,2.1,2.1999999999999997,190,399,2.1,Understocked,22,46064,Core,0.185,2.1309523809523809,,2.1999999999999997,2.1309523809523809,No conflict,Approve
1013,Margarine 500g,Dairy,Margarine,Generic,500g,3.9,3.14,0.16,4.2918454935622161E-3,Within margin threshold,Too expensive,Decrease Price,3.8000000000000003,-2.1459227467811082E-2,0.1736842105263158,No,No,3.7,4.1500000000000004,3.8,3.7,3.8833333333333333,160,592,3.7,Understocked,22,46064,Slow mover,0.19500000000000001,3.7380952380952386,,3.8833333333333333,3.7380952380952386,Price positioning conflict,Review
1014,Cheddar Cheese 200g,Dairy,Cheddar cheese,Generic,200g,5.5,4.68,0.12,4.7619047619047616E-2,Within margin threshold,Too expensive,Decrease Price,5.3000000000000007,9.52380952380966E-3,0.11698113207547187,Yes,No,5.25,5.9,5.4,5.25,5.5166666666666666,210,1103,5.2523809523809524,Rightly stocked,24,46066,KVI,0.15,5.3181818181818175,,5.5166666666666666,5.3181818181818175,Price positioning conflict,Review
1015,Cheddar Cheese 400g,Dairy,Cheddar cheese,Generic,400g,9.9,8.07,0.16,-1.6806722689074675E-3,Within margin threshold,Within range,Keep,9.9,-1.6806722689074675E-3,0.18484848484848485,No,No,9.6,10.4,9.75,9.6,9.9166666666666661,150,1440,9.6,Overstocked,24,46066,Slow mover,0.185,9.6071428571428577,,9.9166666666666661,9.6071428571428577,No conflict,Approve
1016,Mozzarella 200g,Dairy,Mozaralla cheese,Generic,200g,4.8,3.96,0.16,3.4843205574914631E-3,Within margin threshold,Too expensive,Decrease Price,4.7,-1.7421602787456202E-2,0.15744680851063833,No,No,4.5999999999999996,5.05,4.7,4.5999999999999996,4.7833333333333323,190,874,4.5999999999999996,Rightly stocked,22,46063,Core,0.17499999999999999,4.7142857142857144,,4.7833333333333323,4.7142857142857144,Margin conflict,Review
1017,Mozzarella 400g,Dairy,Mozaralla cheese,Generic,400g,8.9,7.88,0.12,3.4883720930232641E-2,Below margin threshold,Too expensive,Increase Price,8.9500000000000011,4.0697674418604821E-2,0.11955307262569843,Yes,No,8.6,9.4,8.75,8.6,8.9166666666666661,140,1204,8.6,Overstocked,22,46063,KVI,0.11499999999999999,8.954545454545455,,8.9166666666666661,8.954545454545455,Price positioning conflict,Review
